# M.D. Woods -- using sens=0.1
ID,RA,DEC,Z,PETRO_PIX,PETRO_KPC
140.0,189.204358,62.219344,0.908,12.1,6.712320304879745
142.0,189.203313,62.221764,0.75174,14.1,6.475722438786837
145.0,189.204333,62.222722,1.0,23.1,14.112808009859299
147.0,189.206125,62.221278,1.241501,27.1,20.555015950909507
155.0,189.216542,62.225611,0.961537,21.1,12.395096419499362
157.0,189.221888,62.222628,1.654064,8.1,8.185378792682306
158.0,189.21575,62.231583,0.55607,nan,nan
160.0,189.216625,62.233583,0.5579,26.1,8.896072678142128
161.0,189.219792,62.231833,1.35907,29.1,24.162188522728172
163.0,189.225417,62.23175,0.8501,26.1,13.555388750114037
164.0,189.229614,62.22992,2.233,23.1,31.51390028601581
166.0,189.231333,62.231472,1.14501,29.1,20.356528714789516
167.0,189.228167,62.22075,2.052906,16.1,20.192793015958454
225.0,189.233833,62.224861,1.24442,22.1,16.801989524424386
