8|WISEA J200955.50+072713.5|302.48128 |   7.45380 |QSO|228442| 0.762000 |SLS |19.7R|  0.000|36|0|32|16|4|0|0
2|2MASS J20314726+0239373|307.94688 |   2.66036 |QSO|259203| 0.864607 |SLS |17.5R|  0.000|35|0|21|20|6|0|0
6|SDSS J203649.05-001013.8|309.20441 |  -0.17052 |G|184738| 0.616219 |SLS |19.9g|  0.000|0|0|15|2|1|4|0
8|WISEA J203740.69-005354.2|309.41956 |  -0.89840 |G|241449| 0.805387 |SLS |18.6g|  0.000|11|0|53|5|3|8|0
10|SDSS J203911.34+001303.1|309.79726 |   0.21755 |G|308029| 1.027473 |SLS |20.5g|  0.000|1|0|15|2|1|4|0
11|SDSS J203944.09+005654.0|309.93372 |   0.94834 |G|279197| 0.931301 |SLS |21.1g|  0.000|1|0|15|2|1|4|0
12|WISEA J203952.17-002447.2|309.96740 |  -0.41313 |QSO|183788| 0.613052 |SLS |18.1g|  0.000|40|0|48|9|15|8|1
15|WISEA J204041.23-142550.8|310.17169 | -14.43053 |G|254824| 0.850000 |SLS |     |  0.000|3|0|13|4|3|0|0
18|WISEA J204045.28-062422.4|310.18868 |  -6.40625 |QSO|225622| 0.752593 |SLS |17.6g|  0.000|32|0|47|13|19|8|1
22|WISEA J204103.89-142856.5|310.26617 | -14.48233 |G|191148| 0.637600 |SLS |     |  0.000|3|0|13|4|3|0|0
23|WISEA J204104.81-142858.2|310.27007 | -14.48285 |IrS|315292| 1.051700 |SLS |     |  0.000|2|0|12|3|1|0|0
25|WISEA J204109.54-051848.3|310.28975 |  -5.31343 |G|278803| 0.929987 |SLS |21.5g|  0.000|6|0|47|5|4|8|0
26|WISEA J204110.29-052626.3|310.29289 |  -5.44065 |QSO|277750| 0.926473 |SLS |19.4g|  0.000|26|0|37|7|13|8|0
27|WISEA J204110.55-143013.5|310.29398 | -14.50377 |IrS|241333| 0.805000 |SLS |     |  0.000|2|0|12|3|1|0|0
29|WISEA J204128.03-142926.9|310.36679 | -14.49082 |G|249877| 0.833500 |SLS |     |  0.000|3|0|13|4|3|0|0
31|WISEA J204132.70-143249.6|310.38626 | -14.54723 |G|214172| 0.714400 |SLS |     |  0.000|3|0|13|4|3|0|0
33|WISEA J204137.22-143346.5|310.40512 | -14.56277 |G|235907| 0.786900 |SLS |     |  0.000|3|0|13|4|3|0|0
39|WISEA J204312.47-060953.6|310.80198 |  -6.16491 |G|237619| 0.792610 |SLS |19.1g|  0.000|2|0|27|3|1|4|0
41|WISEA J204325.99-062726.7|310.85831 |  -6.45742 |G|212567| 0.709046 |SLS |20.5g|  0.000|6|0|47|6|5|8|0
